Movie Index,Title,Year,Plot,Director(s),Star(s)
3771,Eulogy for a Vampire,2009,"A handsome young drifter is found unconscious near a remote monastery, where he joins forces with a vengeful spirit as he seduces and converts each of the monks to join his league of the undead.",Patrick McGuinn,"Ryan G. Metzger, Sal Bardo, Wilson Hand, Darin Guerrasio"
3772,Everything's Eventual,2009,"A young man, who has a unique psychic talent, is recruited by a mysterious company. In return, he is given everything he wants, a house, a car, everything. His situation seems ideal, ...                See full summary »",J.P. Scott,"Michael Flores, Joe Jones, Cavin Gray, Shane Dean"
3773,Lo,2009,"Love presents many challenges to couples...but none so daunting as the one Justin faces with his girlfriend April. Kidnapped by demons, April's mystery begins to unfold when he finds an ...                See full summary »",Travis Betz,"Jeremiah Birkett, Sarah Lassez, Ward Roberts, Devin Barry"
3774,The Fourth Kind,2009,"A thriller involving an ongoing unsolved mystery in Alaska, where one town has seen an extraordinary number of unexplained disappearances during the past 40 years and there are accusations of a federal cover up.",Olatunde Osunsanmi,"Milla Jovovich, Elias Koteas, Will Patton, Hakeem Kae-Kazim"
3775,Caged Lesbos A-Go-Go,2009,Add a Plot,Creep Creepersin,"Ariauna Albright, Ted Alderman, Nathaniel Branch, Sean Cain"
3776,Paranormal,2009,"Paranormal follows best-selling, self-made novelist Greg Evans struggling through the worst case of writer's block in his award-winning career. In a desperate search for inspiration, Greg ...                See full summary »",Matt Mitchell,"John Rutland, Maureen MacDonald, Nick Errato, Daniel Gray"
3777,X,2009,"Xavier Morrison is an ordinary man with a terrible secret. He is a psychopathic serial killer and no one has ever suspected him.Unable to control his horrific addiction,he gives into his ...                See full summary »",Terence Muncy,"Matthew W. Allen, Geoff Barbieri, Spaulding Catherine, Laura Dodd"
3778,The Beacon,2009,"While trying to get their lives back on track after the loss of their four year old son, Bryn and Paul Shaw move to the charming old Beacon Apartments. Bryn begins seeing a ghostly little ...                See full summary »",Michael Stokes,"Teri Polo, David Rees Snell, Elaine Hendrix, Ken Howard"
3779,Dark Fields,2009,Follows three generations of a curse farming community that turn to human sacrifice to appease an evil that haunts the rain.,Douglas Schulze,"David Carradine, Richard Lynch, Dee Wallace, Jeff Beorger"
3780,Dead Air,2009,"Logan Burnhardt is the ego-king of the airwaves, but his unflappable persona is put to the test when a terrorist bio-attack unleashes a plague of flesh-ripping maniacs on Los Angeles.",Corbin Bernsen,"Bill Moseley, Corbin Bernsen, David Moscow, Navid Negahban"
3781,For Sale by Owner,2009,A newly married couple buy property that not only has a link to the husband's past but also to the lost colony of Roanoke.,Robert J. Wilson,"Scott Cooper, Rachel Nichols, Kris Kristofferson, Tom Skerritt"
3782,Circle of Eight,2009,"Jessica moves into a loft on the eighth floor of a Los Angeles apartment building called The Dante. The other tenants all seem friendly at first, but when she starts witnessing horrible ...                See full summary »",Stephen Cragg,"John Bishop, Kirk Bovill, Ryan Doom, Austin Highsmith"
3783,Deadtime Stories: Volume 1,2009,"An anthology of three horror stories presented by George Romero. In ""Quota,"" a pair of young lovers drive to Lovers' Leap, only to be attacked by a mysterious creature. In ""Wet,"" a lonely ...                See full summary »","Tom Savini, Jeff Monahan, Michael Fischa","George A. Romero, Amy Marsalis, Marty Schiff, Antone Pagán"
3784,Bled White,2009,"The dead feast on human flesh and stop at nothing for it. The living, confined to the dark corners of the world, must do what it takes to survive. Dying is the only thing left to do at the ...                See full summary »",Jose Carlos Gomez,"North Roberts, Matthew E. Prochazka, Colleen Irene Boag, Bruce Spielbauer"
3785,Best Ribs in Town,2009,Add a Plot,David Mikalson,"Ria Burns-Wilder, Ashley-Rebekah Faulkner, Tiffany Lee, Anatoli Grigoriadou"
3786,In the Closet,2009,"In the Year 2045, some of us will still be alive. Lamont A. Maxwell, an old Conservative Politician will make an extraordinary journey through the Alpha and the Omega of his life. From his ...                See full summary »",Lamont A. Coleman,"Lamont A. Coleman, Denver Dowridge, Kimo Leopoldo, Kathryn Melton"
3787,The Occultist,2009,"When a group of med students go to take their final exams, they find themselves subjects of a twisted and bloody Satanic ritual led by their professor. It's up to two of them to save all.",Novin Shakiba,"Domiziano Arcangeli, Derek Baker, Adriana Barrera, Zenova Braeden"
3788,Evil Weed,2009,"Emily and her sister Danielle play host to friends at their parents' country house in the Hamptons. But when a bag of unicorn weed livens up the party, some of the group begin to suffer from a weird reaction.",David Wexler,"Brianna Barnes, Genevieve Hudson-Price, Cynthia LaForte, Bekim Trenova"
3789,The Darkness Within,2009,"A young couple move into a new apartment only to find that their neighbor is a peeping Tom. If they don't unlock the secret to this mysterious voyeur soon, they may lose everything, including their minds.",Dom Portalla,"Jimmy Scanlon, Ken Flott, Michelle Romano, Stephanie Maheu"
3790,Dead Start,2009,What would you do if the dead started to come back to life to feast on the living? That is what happens in Flickering Candle Productions new movie Dead Start. Ann (Linda Wylie) and Mark ...                See full summary »,,
3791,Nine Miles Down,2009,A security expert is sent to a remote scientific camp to investigate strange things that are happening.,Anthony Waller,"Adrian Paul, Amanda Douge, Anthony Waller, Caroline Couret-Delegue"
3792,The Graves,2009,Two inseparable sister's visit to a remote mine town turns into a mind-bending fight for survival against menaces both human and supernatural.,Brian Pulido,"Clare Grant, Jillian Murray, Bill Moseley, Tony Todd"
3793,Die-ner (Get It?),2009,"Ken is a wandering and unassuming serial killer who enters a forsaken and empty diner during the graveyard shift. After a long conversation with the diner's lone waitress Rose, Ken kills ...                See full summary »",Patrick Horvath,"Joshua Grote, Liesel Kopp, Parker Quinn, Maria Olsen"
3794,Vault of Darkness,2009,"A crazed backwoods religious cult leader relates three tales of horror: A young woman gets terrorized by a strange creepy man in ""It's Hour Come Round,"" an obsessive college art professor ...                See full summary »","Adam Ross, Matthew B. Moore, Adam Hulin","Jess Barbour, Christina Cupo, Darren Dalton, Hope Farlow"
3795,Holy Hell,2009,"In a last ditch attempt to save a small financially strapped church, the parishioners decide to make a horror movie to raise the necessary funds. Despite a lack of knowledge, the film is ...                See full summary »",Rafael Antonio Ruiz,"Ken Edwards, Ellie McBride, Kenneth Wayne Bradley, Liz Fisher"
